[Gloo] Rank [Gloo] Rank 4 is connected to 57 is connected to  peer ranks. 7Expected number of connected peer ranks is :  peer ranks. 7Expected number of connected peer ranks is : 
7
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 6 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
logs/600b88b4-a87b-4201-a8ab-f7bc7b5c0fcf.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:128/1480 train_time:3767ms step_avg:29.43ms
step:129/1480 train_time:3793ms step_avg:29.40ms
step:130/1480 train_time:3825ms step_avg:29.43ms
step:131/1480 train_time:3852ms step_avg:29.40ms
step:132/1480 train_time:3885ms step_avg:29.43ms
step:133/1480 train_time:3911ms step_avg:29.40ms
step:134/1480 train_time:3944ms step_avg:29.43ms
step:135/1480 train_time:3970ms step_avg:29.41ms
step:136/1480 train_time:4003ms step_avg:29.43ms
step:137/1480 train_time:4029ms step_avg:29.41ms
step:138/1480 train_time:4062ms step_avg:29.44ms
step:139/1480 train_time:4088ms step_avg:29.41ms
step:140/1480 train_time:4121ms step_avg:29.44ms
step:141/1480 train_time:4147ms step_avg:29.41ms
step:142/1480 train_time:4180ms step_avg:29.44ms
step:143/1480 train_time:4206ms step_avg:29.41ms
step:144/1480 train_time:4239ms step_avg:29.44ms
step:145/1480 train_time:4266ms step_avg:29.42ms
step:146/1480 train_time:4299ms step_avg:29.44ms
step:147/1480 train_time:4325ms step_avg:29.42ms
step:148/1480 train_time:4358ms step_avg:29.45ms
step:149/1480 train_time:4383ms step_avg:29.42ms
step:150/1480 train_time:4416ms step_avg:29.44ms
step:151/1480 train_time:4442ms step_avg:29.41ms
step:152/1480 train_time:4475ms step_avg:29.44ms
step:153/1480 train_time:4501ms step_avg:29.42ms
step:154/1480 train_time:4534ms step_avg:29.44ms
step:155/1480 train_time:4560ms step_avg:29.42ms
step:156/1480 train_time:4593ms step_avg:29.45ms
step:157/1480 train_time:4619ms step_avg:29.42ms
step:158/1480 train_time:4652ms step_avg:29.44ms
step:159/1480 train_time:4678ms step_avg:29.42ms
step:160/1480 train_time:4711ms step_avg:29.44ms
step:161/1480 train_time:4736ms step_avg:29.42ms
step:162/1480 train_time:4770ms step_avg:29.45ms
step:163/1480 train_time:4796ms step_avg:29.42ms
step:164/1480 train_time:4829ms step_avg:29.45ms
step:165/1480 train_time:4855ms step_avg:29.42ms
step:166/1480 train_time:4889ms step_avg:29.45ms
step:167/1480 train_time:4914ms step_avg:29.43ms
step:168/1480 train_time:4947ms step_avg:29.45ms
step:169/1480 train_time:4973ms step_avg:29.43ms
step:170/1480 train_time:5006ms step_avg:29.45ms
step:171/1480 train_time:5032ms step_avg:29.43ms
step:172/1480 train_time:5066ms step_avg:29.45ms
step:173/1480 train_time:5091ms step_avg:29.43ms
step:174/1480 train_time:5124ms step_avg:29.45ms
step:175/1480 train_time:5150ms step_avg:29.43ms
step:176/1480 train_time:5183ms step_avg:29.45ms
step:177/1480 train_time:5209ms step_avg:29.43ms
step:178/1480 train_time:5242ms step_avg:29.45ms
step:179/1480 train_time:5268ms step_avg:29.43ms
step:180/1480 train_time:5302ms step_avg:29.45ms
step:181/1480 train_time:5327ms step_avg:29.43ms
step:182/1480 train_time:5360ms step_avg:29.45ms
step:183/1480 train_time:5386ms step_avg:29.43ms
step:184/1480 train_time:5418ms step_avg:29.45ms
step:185/1480 train_time:5445ms step_avg:29.43ms
step:186/1480 train_time:5477ms step_avg:29.45ms
step:187/1480 train_time:5503ms step_avg:29.43ms
step:188/1480 train_time:5536ms step_avg:29.45ms
step:189/1480 train_time:5562ms step_avg:29.43ms
step:190/1480 train_time:5595ms step_avg:29.45ms
step:191/1480 train_time:5621ms step_avg:29.43ms
step:192/1480 train_time:5654ms step_avg:29.45ms
step:193/1480 train_time:5680ms step_avg:29.43ms
step:194/1480 train_time:5713ms step_avg:29.45ms
step:195/1480 train_time:5738ms step_avg:29.42ms
step:196/1480 train_time:5772ms step_avg:29.45ms
step:197/1480 train_time:5797ms step_avg:29.43ms
step:198/1480 train_time:5831ms step_avg:29.45ms
step:199/1480 train_time:5856ms step_avg:29.43ms
step:200/1480 train_time:5890ms step_avg:29.45ms
step:201/1480 train_time:5915ms step_avg:29.43ms
step:202/1480 train_time:5949ms step_avg:29.45ms
step:203/1480 train_time:5975ms step_avg:29.43ms
step:204/1480 train_time:6008ms step_avg:29.45ms
step:205/1480 train_time:6033ms step_avg:29.43ms
step:206/1480 train_time:6066ms step_avg:29.45ms
step:207/1480 train_time:6093ms step_avg:29.43ms
step:208/1480 train_time:6126ms step_avg:29.45ms
step:209/1480 train_time:6152ms step_avg:29.44ms
step:210/1480 train_time:6185ms step_avg:29.45ms
step:211/1480 train_time:6211ms step_avg:29.44ms
step:212/1480 train_time:6245ms step_avg:29.46ms
step:213/1480 train_time:6271ms step_avg:29.44ms
step:214/1480 train_time:6304ms step_avg:29.46ms
step:215/1480 train_time:6330ms step_avg:29.44ms
step:216/1480 train_time:6363ms step_avg:29.46ms
step:217/1480 train_time:6389ms step_avg:29.44ms
step:218/1480 train_time:6422ms step_avg:29.46ms
step:219/1480 train_time:6448ms step_avg:29.44ms
step:220/1480 train_time:6481ms step_avg:29.46ms
step:221/1480 train_time:6506ms step_avg:29.44ms
