data_download_start_utc=2026-05-14T10:47:56Z
data_download_done_utc=2026-05-14T10:47:56Z
train_start_utc=2026-05-14T10:47:56Z
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : [Gloo] Rank 76
 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
logs/c6c83289-9b8c-4dd9-94c7-03be648f90b7.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:265/1480 train_time:7800ms step_avg:29.44ms
step:266/1480 train_time:7833ms step_avg:29.45ms
step:267/1480 train_time:7859ms step_avg:29.43ms
step:268/1480 train_time:7891ms step_avg:29.45ms
step:269/1480 train_time:7917ms step_avg:29.43ms
step:270/1480 train_time:7949ms step_avg:29.44ms
step:271/1480 train_time:7976ms step_avg:29.43ms
step:272/1480 train_time:8009ms step_avg:29.45ms
step:273/1480 train_time:8035ms step_avg:29.43ms
step:274/1480 train_time:8067ms step_avg:29.44ms
step:275/1480 train_time:8093ms step_avg:29.43ms
step:276/1480 train_time:8126ms step_avg:29.44ms
step:277/1480 train_time:8153ms step_avg:29.43ms
step:278/1480 train_time:8186ms step_avg:29.44ms
step:279/1480 train_time:8212ms step_avg:29.43ms
step:280/1480 train_time:8244ms step_avg:29.44ms
step:281/1480 train_time:8270ms step_avg:29.43ms
step:282/1480 train_time:8303ms step_avg:29.44ms
step:283/1480 train_time:8330ms step_avg:29.43ms
step:284/1480 train_time:8364ms step_avg:29.45ms
step:285/1480 train_time:8390ms step_avg:29.44ms
step:286/1480 train_time:8424ms step_avg:29.45ms
step:287/1480 train_time:8450ms step_avg:29.44ms
step:288/1480 train_time:8483ms step_avg:29.45ms
step:289/1480 train_time:8509ms step_avg:29.44ms
step:290/1480 train_time:8541ms step_avg:29.45ms
step:291/1480 train_time:8567ms step_avg:29.44ms
step:292/1480 train_time:8600ms step_avg:29.45ms
step:293/1480 train_time:8626ms step_avg:29.44ms
step:294/1480 train_time:8659ms step_avg:29.45ms
step:295/1480 train_time:8684ms step_avg:29.44ms
step:296/1480 train_time:8717ms step_avg:29.45ms
step:297/1480 train_time:8743ms step_avg:29.44ms
step:298/1480 train_time:8775ms step_avg:29.45ms
step:299/1480 train_time:8801ms step_avg:29.44ms
step:300/1480 train_time:8834ms step_avg:29.45ms
step:301/1480 train_time:8860ms step_avg:29.43ms
step:302/1480 train_time:8892ms step_avg:29.44ms
step:303/1480 train_time:8918ms step_avg:29.43ms
step:304/1480 train_time:8950ms step_avg:29.44ms
step:305/1480 train_time:8977ms step_avg:29.43ms
step:306/1480 train_time:9009ms step_avg:29.44ms
step:307/1480 train_time:9035ms step_avg:29.43ms
step:308/1480 train_time:9068ms step_avg:29.44ms
step:309/1480 train_time:9094ms step_avg:29.43ms
step:310/1480 train_time:9127ms step_avg:29.44ms
step:311/1480 train_time:9153ms step_avg:29.43ms
step:312/1480 train_time:9186ms step_avg:29.44ms
step:313/1480 train_time:9212ms step_avg:29.43ms
step:314/1480 train_time:9244ms step_avg:29.44ms
step:315/1480 train_time:9270ms step_avg:29.43ms
step:316/1480 train_time:9304ms step_avg:29.44ms
step:317/1480 train_time:9330ms step_avg:29.43ms
step:318/1480 train_time:9363ms step_avg:29.44ms
step:319/1480 train_time:9389ms step_avg:29.43ms
step:320/1480 train_time:9423ms step_avg:29.45ms
step:321/1480 train_time:9449ms step_avg:29.44ms
step:322/1480 train_time:9483ms step_avg:29.45ms
step:323/1480 train_time:9509ms step_avg:29.44ms
step:324/1480 train_time:9542ms step_avg:29.45ms
step:325/1480 train_time:9568ms step_avg:29.44ms
step:326/1480 train_time:9600ms step_avg:29.45ms
step:327/1480 train_time:9626ms step_avg:29.44ms
step:328/1480 train_time:9659ms step_avg:29.45ms
step:329/1480 train_time:9684ms step_avg:29.44ms
step:330/1480 train_time:9718ms step_avg:29.45ms
step:331/1480 train_time:9743ms step_avg:29.43ms
step:332/1480 train_time:9775ms step_avg:29.44ms
step:333/1480 train_time:9801ms step_avg:29.43ms
step:334/1480 train_time:9834ms step_avg:29.44ms
step:335/1480 train_time:9860ms step_avg:29.43ms
step:336/1480 train_time:9893ms step_avg:29.44ms
step:337/1480 train_time:9919ms step_avg:29.43ms
step:338/1480 train_time:9952ms step_avg:29.44ms
step:339/1480 train_time:9978ms step_avg:29.43ms
step:340/1480 train_time:10010ms step_avg:29.44ms
step:341/1480 train_time:10037ms step_avg:29.43ms
step:342/1480 train_time:10069ms step_avg:29.44ms
step:343/1480 train_time:10096ms step_avg:29.43ms
step:344/1480 train_time:10128ms step_avg:29.44ms
step:345/1480 train_time:10154ms step_avg:29.43ms
step:346/1480 train_time:10187ms step_avg:29.44ms
step:347/1480 train_time:10213ms step_avg:29.43ms
step:348/1480 train_time:10246ms step_avg:29.44ms
step:349/1480 train_time:10272ms step_avg:29.43ms
step:350/1480 train_time:10305ms step_avg:29.44ms
step:351/1480 train_time:10332ms step_avg:29.43ms
step:352/1480 train_time:10365ms step_avg:29.44ms
step:353/1480 train_time:10391ms step_avg:29.43ms
step:354/1480 train_time:10424ms step_avg:29.45ms
step:355/1480 train_time:10449ms step_avg:29.43ms
step:356/1480 train_time:10482ms step_avg:29.44ms
step:357/1480 train_time:10508ms step_avg:29.43ms
step:358/1480 train_time:10541ms step_avg:29.44ms
step:359/1480 train_time:10567ms step_avg:29.43ms
step:360/1480 train_time:10600ms step_avg:29.44ms
step:361/1480 train_time:10626ms step_avg:29.43ms
step:362/1480 train_time:10659ms step_avg:29.45ms
step:363/1480 train_time:10685ms step_avg:29.43ms
step:364/1480 train_time:10718ms step_avg:29.44ms
step:365/1480 train_time:10744ms step_avg:29.44ms
step:366/1480 train_time:10777ms step_avg:29.44ms
step:367/1480 train_time:10803ms step_avg:29.44ms
step:368/1480 train_time:10835ms step_avg:29.44ms
step:369/1480 train_time:10861ms step_avg:29.43ms
step:370/1480 train_time:10894ms step_avg:29.44ms
step:371/1480 train_time:10920ms step_avg:29.43ms
step:372/1480 train_time:10952ms step_avg:29.44ms
step:373/1480 train_time:10979ms step_avg:29.43ms
step:374/1480 train_time:11011ms step_avg:29.44ms
step:375/1480 train_time:11038ms step_avg:29.43ms
step:376/1480 train_time:11070ms step_avg:29.44ms
step:377/1480 train_time:11096ms step_avg:29.43ms
step:378/1480 train_time:11130ms step_avg:29.44ms
step:379/1480 train_time:11156ms step_avg:29.44ms
step:380/1480 train_time:11189ms step_avg:29.45ms
step:381/1480 train_time:11215ms step_avg:29.44ms
step:382/1480 train_time:11248ms step_avg:29.44ms
step:383/1480 train_time:11274ms step_avg:29.44ms
step:384/1480 train_time:11306ms step_avg:29.44ms
step:385/1480 train_time:11333ms step_avg:29.44ms
step:386/1480 train_time:11366ms step_avg:29.44ms
step:387/1480 train_time:11392ms step_avg:29.44ms
step:388/1480 train_time:11425ms step_avg:29.45ms
step:389/1480 train_time:11451ms step_avg:29.44ms
step:390/1480 train_time:11484ms step_avg:29.45ms
step:391/1480 train_time:11510ms step_avg:29.44ms
step:392/1480 train_time:11543ms step_avg:29.45ms
step:393/1480 train_time:11568ms step_avg:29.44ms
step:394/1480 train_time:11601ms step_avg:29.44ms
step:395/1480 train_time:11627ms step_avg:29.43ms
step:396/1480 train_time:11660ms step_avg:29.44ms
step:397/1480 train_time:11686ms step_avg:29.44ms
step:398/1480 train_time:11719ms step_avg:29.45ms
step:399/1480 train_time:11746ms step_avg:29.44ms
step:400/1480 train_time:11778ms step_avg:29.45ms
step:401/1480 train_time:11804ms step_avg:29.44ms
step:402/1480 train_time:11837ms step_avg:29.45ms
step:403/1480 train_time:11863ms step_avg:29.44ms
step:404/1480 train_time:11895ms step_avg:29.44ms
step:405/1480 train_time:11921ms step_avg:29.44ms
step:406/1480 train_time:11954ms step_avg:29.44ms
step:407/1480 train_time:11980ms step_avg:29.43ms
step:408/1480 train_time:12012ms step_avg:29.44ms
step:409/1480 train_time:12038ms step_avg:29.43ms
step:410/1480 train_time:12071ms step_avg:29.44ms
step:411/1480 train_time:12097ms step_avg:29.43ms
step:412/1480 train_time:12130ms step_avg:29.44ms
step:413/1480 train_time:12156ms step_avg:29.43ms
step:414/1480 train_time:12189ms step_avg:29.44ms
step:415/1480 train_time:12216ms step_avg:29.44ms
step:416/1480 train_time:12248ms step_avg:29.44ms
step:417/1480 train_time:12275ms step_avg:29.44ms
step:418/1480 train_time:12307ms step_avg:29.44ms
step:419/1480 train_time:12334ms step_avg:29.44ms
step:420/1480 train_time:12366ms step_avg:29.44ms
step:421/1480 train_time:12392ms step_avg:29.43ms
step:422/1480 train_time:12425ms step_avg:29.44ms
step:423/1480 train_time:12451ms step_avg:29.43ms
step:424/1480 train_time:12484ms step_avg:29.44ms
step:425/1480 train_time:12510ms step_avg:29.43ms
step:426/1480 train_time:12542ms step_avg:29.44ms
step:427/1480 train_time:12568ms step_avg:29.43ms
step:428/1480 train_time:12601ms step_avg:29.44ms
step:429/1480 train_time:12627ms step_avg:29.43ms
step:430/1480 train_time:12660ms step_avg:29.44ms
step:431/1480 train_time:12686ms step_avg:29.43ms
step:432/1480 train_time:12719ms step_avg:29.44ms
step:433/1480 train_time:12744ms step_avg:29.43ms
step:434/1480 train_time:12778ms step_avg:29.44ms
step:435/1480 train_time:12803ms step_avg:29.43ms
step:436/1480 train_time:12837ms step_avg:29.44ms
step:437/1480 train_time:12862ms step_avg:29.43ms
step:438/1480 train_time:12895ms step_avg:29.44ms
step:439/1480 train_time:12921ms step_avg:29.43ms
step:440/1480 train_time:12954ms step_avg:29.44ms
step:441/1480 train_time:12980ms step_avg:29.43ms
step:442/1480 train_time:13013ms step_avg:29.44ms
step:443/1480 train_time:13039ms step_avg:29.43ms
step:444/1480 train_time:13071ms step_avg:29.44ms
step:445/1480 train_time:13097ms step_avg:29.43ms
step:446/1480 train_time:13130ms step_avg:29.44ms
step:447/1480 train_time:13156ms step_avg:29.43ms
step:448/1480 train_time:13189ms step_avg:29.44ms
step:449/1480 train_time:13216ms step_avg:29.43ms
step:450/1480 train_time:13249ms step_avg:29.44ms
step:451/1480 train_time:13275ms step_avg:29.43ms
step:452/1480 train_time:13308ms step_avg:29.44ms
step:453/1480 train_time:13334ms step_avg:29.44ms
step:454/1480 train_time:13367ms step_avg:29.44ms
step:455/1480 train_time:13393ms step_avg:29.43ms
step:456/1480 train_time:13425ms step_avg:29.44ms
step:457/1480 train_time:13451ms step_avg:29.43ms
step:458/1480 train_time:13484ms step_avg:29.44ms
step:459/1480 train_time:13509ms step_avg:29.43ms
step:460/1480 train_time:13543ms step_avg:29.44ms
step:461/1480 train_time:13568ms step_avg:29.43ms
step:462/1480 train_time:13600ms step_avg:29.44ms
step:463/1480 train_time:13626ms step_avg:29.43ms
step:464/1480 train_time:13660ms step_avg:29.44ms
step:465/1480 train_time:13686ms step_avg:29.43ms
step:466/1480 train_time:13719ms step_avg:29.44ms
step:467/1480 train_time:13745ms step_avg:29.43ms
step:468/1480 train_time:13778ms step_avg:29.44ms
step:469/1480 train_time:13804ms step_avg:29.43ms
step:470/1480 train_time:13837ms step_avg:29.44ms
step:471/1480 train_time:13863ms step_avg:29.43ms
step:472/1480 train_time:13895ms step_avg:29.44ms
step:473/1480 train_time:13921ms step_avg:29.43ms
step:474/1480 train_time:13953ms step_avg:29.44ms
step:475/1480 train_time:13980ms step_avg:29.43ms
step:476/1480 train_time:14012ms step_avg:29.44ms
