step:162/1480 train_time:4734ms step_avg:29.22ms
step:163/1480 train_time:4759ms step_avg:29.20ms
step:164/1480 train_time:4792ms step_avg:29.22ms
step:165/1480 train_time:4818ms step_avg:29.20ms
step:166/1480 train_time:4850ms step_avg:29.22ms
step:167/1480 train_time:4876ms step_avg:29.20ms
step:168/1480 train_time:4908ms step_avg:29.22ms
step:169/1480 train_time:4934ms step_avg:29.20ms
step:170/1480 train_time:4967ms step_avg:29.22ms
step:171/1480 train_time:4993ms step_avg:29.20ms
step:172/1480 train_time:5027ms step_avg:29.23ms
step:173/1480 train_time:5053ms step_avg:29.21ms
step:174/1480 train_time:5085ms step_avg:29.23ms
step:175/1480 train_time:5112ms step_avg:29.21ms
step:176/1480 train_time:5145ms step_avg:29.23ms
step:177/1480 train_time:5170ms step_avg:29.21ms
step:178/1480 train_time:5203ms step_avg:29.23ms
step:179/1480 train_time:5229ms step_avg:29.21ms
step:180/1480 train_time:5262ms step_avg:29.24ms
step:181/1480 train_time:5288ms step_avg:29.22ms
step:182/1480 train_time:5322ms step_avg:29.24ms
step:183/1480 train_time:5348ms step_avg:29.22ms
step:184/1480 train_time:5380ms step_avg:29.24ms
step:185/1480 train_time:5405ms step_avg:29.22ms
step:186/1480 train_time:5438ms step_avg:29.24ms
step:187/1480 train_time:5464ms step_avg:29.22ms
step:188/1480 train_time:5498ms step_avg:29.24ms
step:189/1480 train_time:5523ms step_avg:29.22ms
step:190/1480 train_time:5556ms step_avg:29.24ms
step:191/1480 train_time:5581ms step_avg:29.22ms
step:192/1480 train_time:5614ms step_avg:29.24ms
step:193/1480 train_time:5639ms step_avg:29.22ms
step:194/1480 train_time:5672ms step_avg:29.24ms
step:195/1480 train_time:5697ms step_avg:29.22ms
step:196/1480 train_time:5731ms step_avg:29.24ms
step:197/1480 train_time:5756ms step_avg:29.22ms
step:198/1480 train_time:5789ms step_avg:29.24ms
step:199/1480 train_time:5814ms step_avg:29.22ms
step:200/1480 train_time:5847ms step_avg:29.24ms
step:201/1480 train_time:5873ms step_avg:29.22ms
step:202/1480 train_time:5906ms step_avg:29.24ms
step:203/1480 train_time:5932ms step_avg:29.22ms
step:204/1480 train_time:5964ms step_avg:29.24ms
step:205/1480 train_time:5990ms step_avg:29.22ms
step:206/1480 train_time:6023ms step_avg:29.24ms
step:207/1480 train_time:6049ms step_avg:29.22ms
step:208/1480 train_time:6082ms step_avg:29.24ms
step:209/1480 train_time:6108ms step_avg:29.22ms
step:210/1480 train_time:6141ms step_avg:29.24ms
step:211/1480 train_time:6166ms step_avg:29.22ms
step:212/1480 train_time:6200ms step_avg:29.24ms
step:213/1480 train_time:6225ms step_avg:29.23ms
step:214/1480 train_time:6259ms step_avg:29.25ms
step:215/1480 train_time:6284ms step_avg:29.23ms
step:216/1480 train_time:6318ms step_avg:29.25ms
step:217/1480 train_time:6343ms step_avg:29.23ms
step:218/1480 train_time:6376ms step_avg:29.25ms
step:219/1480 train_time:6402ms step_avg:29.23ms
step:220/1480 train_time:6435ms step_avg:29.25ms
step:221/1480 train_time:6460ms step_avg:29.23ms
step:222/1480 train_time:6493ms step_avg:29.25ms
step:223/1480 train_time:6519ms step_avg:29.23ms
step:224/1480 train_time:6551ms step_avg:29.25ms
step:225/1480 train_time:6577ms step_avg:29.23ms
step:226/1480 train_time:6609ms step_avg:29.24ms
step:227/1480 train_time:6635ms step_avg:29.23ms
step:228/1480 train_time:6667ms step_avg:29.24ms
step:229/1480 train_time:6693ms step_avg:29.23ms
step:230/1480 train_time:6726ms step_avg:29.24ms
step:231/1480 train_time:6751ms step_avg:29.23ms
step:232/1480 train_time:6784ms step_avg:29.24ms
step:233/1480 train_time:6810ms step_avg:29.23ms
step:234/1480 train_time:6843ms step_avg:29.24ms
step:235/1480 train_time:6868ms step_avg:29.23ms
step:236/1480 train_time:6901ms step_avg:29.24ms
step:237/1480 train_time:6926ms step_avg:29.22ms
step:238/1480 train_time:6960ms step_avg:29.24ms
step:239/1480 train_time:6985ms step_avg:29.23ms
step:240/1480 train_time:7018ms step_avg:29.24ms
step:241/1480 train_time:7044ms step_avg:29.23ms
step:242/1480 train_time:7077ms step_avg:29.24ms
step:243/1480 train_time:7102ms step_avg:29.23ms
step:244/1480 train_time:7135ms step_avg:29.24ms
step:245/1480 train_time:7161ms step_avg:29.23ms
step:246/1480 train_time:7194ms step_avg:29.24ms
step:247/1480 train_time:7220ms step_avg:29.23ms
step:248/1480 train_time:7253ms step_avg:29.25ms
step:249/1480 train_time:7279ms step_avg:29.23ms
step:250/1480 train_time:7311ms step_avg:29.25ms
step:250/1480 val_loss:4.5079 train_time:7345ms step_avg:29.38ms
step:251/1480 train_time:7364ms step_avg:29.34ms
step:252/1480 train_time:7382ms step_avg:29.29ms
step:253/1480 train_time:7397ms step_avg:29.24ms
step:254/1480 train_time:7429ms step_avg:29.25ms
step:255/1480 train_time:7456ms step_avg:29.24ms
step:256/1480 train_time:7489ms step_avg:29.25ms
step:257/1480 train_time:7514ms step_avg:29.24ms
step:258/1480 train_time:7546ms step_avg:29.25ms
step:259/1480 train_time:7572ms step_avg:29.24ms
step:260/1480 train_time:7605ms step_avg:29.25ms
step:261/1480 train_time:7631ms step_avg:29.24ms
step:262/1480 train_time:7664ms step_avg:29.25ms
step:263/1480 train_time:7689ms step_avg:29.24ms
step:264/1480 train_time:7722ms step_avg:29.25ms
step:265/1480 train_time:7747ms step_avg:29.23ms
step:266/1480 train_time:7781ms step_avg:29.25ms
step:267/1480 train_time:7806ms step_avg:29.23ms
step:268/1480 train_time:7839ms step_avg:29.25ms
step:269/1480 train_time:7864ms step_avg:29.23ms
step:270/1480 train_time:7897ms step_avg:29.25ms
step:271/1480 train_time:7922ms step_avg:29.23ms
step:272/1480 train_time:7955ms step_avg:29.25ms
step:273/1480 train_time:7981ms step_avg:29.23ms
step:274/1480 train_time:8013ms step_avg:29.25ms
step:275/1480 train_time:8039ms step_avg:29.23ms
step:276/1480 train_time:8071ms step_avg:29.24ms
step:277/1480 train_time:8097ms step_avg:29.23ms
step:278/1480 train_time:8130ms step_avg:29.25ms
step:279/1480 train_time:8156ms step_avg:29.23ms
step:280/1480 train_time:8188ms step_avg:29.24ms
step:281/1480 train_time:8213ms step_avg:29.23ms
step:282/1480 train_time:8247ms step_avg:29.24ms
step:283/1480 train_time:8273ms step_avg:29.23ms
step:284/1480 train_time:8306ms step_avg:29.25ms
step:285/1480 train_time:8333ms step_avg:29.24ms
step:286/1480 train_time:8366ms step_avg:29.25ms
step:287/1480 train_time:8392ms step_avg:29.24ms
step:288/1480 train_time:8425ms step_avg:29.25ms
step:289/1480 train_time:8450ms step_avg:29.24ms
step:290/1480 train_time:8484ms step_avg:29.26ms
step:291/1480 train_time:8509ms step_avg:29.24ms
step:292/1480 train_time:8542ms step_avg:29.25ms
step:293/1480 train_time:8567ms step_avg:29.24ms
step:294/1480 train_time:8600ms step_avg:29.25ms
step:295/1480 train_time:8626ms step_avg:29.24ms
step:296/1480 train_time:8659ms step_avg:29.25ms
step:297/1480 train_time:8684ms step_avg:29.24ms
step:298/1480 train_time:8717ms step_avg:29.25ms
step:299/1480 train_time:8743ms step_avg:29.24ms
step:300/1480 train_time:8776ms step_avg:29.25ms
step:301/1480 train_time:8801ms step_avg:29.24ms
step:302/1480 train_time:8834ms step_avg:29.25ms
step:303/1480 train_time:8859ms step_avg:29.24ms
step:304/1480 train_time:8891ms step_avg:29.25ms
step:305/1480 train_time:8917ms step_avg:29.24ms
step:306/1480 train_time:8949ms step_avg:29.25ms
step:307/1480 train_time:8975ms step_avg:29.23ms
step:308/1480 train_time:9008ms step_avg:29.25ms
step:309/1480 train_time:9034ms step_avg:29.23ms
step:310/1480 train_time:9066ms step_avg:29.25ms
step:311/1480 train_time:9092ms step_avg:29.23ms
step:312/1480 train_time:9125ms step_avg:29.25ms
step:313/1480 train_time:9150ms step_avg:29.23ms
step:314/1480 train_time:9183ms step_avg:29.25ms
step:315/1480 train_time:9208ms step_avg:29.23ms
step:316/1480 train_time:9242ms step_avg:29.25ms
step:317/1480 train_time:9267ms step_avg:29.23ms
step:318/1480 train_time:9301ms step_avg:29.25ms
step:319/1480 train_time:9326ms step_avg:29.24ms
